萬	万
與	与
兩	両
竝	並
乘	乗
亂	乱
龜	亀
豫	予
爭	争
亙	亘
亞	亜
佛	仏
假	仮
會	会
傳	伝
體	体
餘	余
倂	併
價	価
値	値
值	値
倶	倶
俱	倶
儉	倹
僞	偽
兎	兎
兔	兎
兒	児
黨	党
内	内
內	内
圓	円
寫	写
凛	凜
處	処
刹	刹
剎	刹
劍	剣
劑	剤
剩	剰
勵	励
勞	労
效	効
敕	勅
勸	勧
勳	勲
匀	匀
勻	匀
區	区
醫	医
單	単
卽	即
却	却
卻	却
厠	厠
廁	厠
嚴	厳
參	参
雙	双
收	収
敍	叙
敘	叙
臺	台
號	号
呉	呉
吳	呉
呪	呪
咒	呪
唇	唇
脣	唇
啞	唖
營	営
嘘	嘘
噓	嘘
囑	嘱
嚙	噛
團	団
圍	囲
圖	図
國	国
圈	圏
壓	圧
墮	堕
壘	塁
塡	塡
填	塡
鹽	塩
增	増
壞	壊
壤	壌
壯	壮
聲	声
壹	壱
賣	売
變	変
奧	奥
奬	奨
獎	奨
姫	姫
姬	姫
孃	嬢
學	学
寶	宝
實	実
寬	寛
寢	寝
對	対
壽	寿
專	専
將	将
堯	尭
盡	尽
屆	届
屬	属
嶽	岳
峽	峡
峰	峰
峯	峰
巖	巌
巢	巣
卷	巻
帶	帯
歸	帰
廳	庁
廣	広
床	床
牀	床
廢	廃
辨	弁
辯	弁
瓣	弁
貳	弐
彌	弥
彎	弯
彈	弾
當	当
彦	彦
彥	彦
徑	径
從	従
御	御
禦	御
德	徳
徵	徴
應	応
戀	恋
恆	恒
惠	恵
悦	悦
悅	悦
惱	悩
惡	悪
慘	惨
愼	慎
懷	懐
戰	戦
戲	戯
戸	戸
戶	戸
戾	戻
才	才
纔	才
拂	払
拔	抜
擇	択
擔	担
拜	拝
據	拠
擴	拡
擧	挙
舉	挙
挾	挟
插	挿
搜	捜
揭	掲
掴	掴
摑	掴
搔	掻
搖	揺
攝	摂
擊	撃
攪	撹
數	数
齊	斉
齋	斎
斷	断
舊	旧
晝	昼
晄	晃
晋	晋
晉	晋
晚	晩
曉	暁
曆	暦
曁	曁
暨	曁
曾	曽
條	条
來	来
樞	枢
査	査
查	査
榮	栄
櫻	桜
枡	桝
棧	桟
檜	桧
檢	検
楡	楡
榆	楡
樓	楼
樂	楽
槪	概
樣	様
槇	槙
權	権
橫	横
缺	欠
歐	欧
歡	歓
步	歩
齒	歯
歲	歳
歷	歴
殘	残
毆	殴
殼	殻
每	毎
氣	気
氷	氷
冰	氷
汚	汚
污	汚
没	没
沒	没
澤	沢
濾	沪
淨	浄
淺	浅
濱	浜
淚	涙
涛	涛
濤	涛
渴	渇
濟	済
涉	渉
澁	渋
澀	渋
溪	渓
溫	温
灣	湾
濕	湿
溼	湿
滿	満
溌	溌
潑	溌
瀧	滝
滯	滞
潛	潜
瀨	瀬
燈	灯
爐	炉
點	点
爲	為
焔	焔
焰	焔
燒	焼
煙	煙
菸	煙
犧	犠
狀	状
獨	独
狹	狭
獵	猟
猫	猫
貓	猫
獻	献
獸	獣
甁	瓶
産	産
產	産
畫	画
疊	畳
瘦	痩
癡	痴
痺	痺
痹	痺
發	発
皐	皐
皋	皐
盜	盗
縣	県
眞	真
硏	研
碎	砕
砺	砺
礪	砺
禮	礼
禰	祢
禱	祷
祿	禄
禪	禅
祕	秘
稱	称
税	税
稅	税
稜	稜
棱	稜
稻	稲
穗	穂
穩	穏
穰	穣
竊	窃
竃	竃
竈	竃
龍	竜
粹	粋
肅	粛
粧	粧
妝	粧
粽	粽
糉	粽
絲	糸
經	経
繪	絵
絶	絶
絕	絶
繼	継
續	続
總	総
綠	緑
緖	緒
緣	縁
繩	縄
縱	縦
纖	繊
繋	繋
繫	繋
繡	繍
罐	缶
群	群
羣	群
飜	翻
聡	聡
聰	聡
聽	聴
膽	胆
腳	脚
脫	脱
腦	脳
臟	臓
舎	舎
舍	舎
舗	舗
鋪	舗
艷	艶
蘆	芦
藝	芸
莖	茎
茘	茘
荔	茘
莊	荘
莱	莱
萊	莱
萠	萌
葱	葱
蔥	葱
蔣	蒋
藏	蔵
薰	薫
藥	薬
虛	虚
蟲	虫
蠶	蚕
螢	蛍
蠻	蛮
蠟	蝋
衞	衛
裝	装
襃	褒
霸	覇
覺	覚
覽	覧
觀	観
觸	触
譯	訳
證	証
譽	誉
說	説
讀	読
謠	謡
讓	譲
豐	豊
贊	賛
贋	贋
贗	贋
踐	践
轉	転
輕	軽
輌	輌
輛	輌
辭	辞
邊	辺
遞	逓
連	連
聯	連
遲	遅
遙	遥
郞	郎
鄕	郷
鄉	郷
醉	酔
醗	醗
醱	醗
醬	醤
釀	醸
釋	釈
鐵	鉄
鑛	鉱
錢	銭
鑄	鋳
鍊	錬
錄	録
鎭	鎮
關	関
閱	閲
鬭	闘
鬥	闘
陷	陥
險	険
隨	随
隱	隠
雜	雑
靈	霊
靜	静
穎	頴
賴	頼
顏	顔
顯	顕
餠	餅
驛	駅
驅	駆
騷	騒
驗	験
髓	髄
髮	髪
鷗	鴎
鷄	鶏
雞	鶏
鹼	鹸
麥	麦
麴	麹
麵	麺
麪	麺
黃	黄
黑	黒
默	黙
鼈	鼈
鱉	鼈
齡	齢
